V01: INTRADAY PROFILE OF ENTRY DAYS (T+2)

Events analyzed: 1113
Minute observations: 2,828,884

Lowest avg price: minute 297 (-0.13% from open)
Close avg: -0.06% from open
Potential savings (buy at low vs close): 0.07%

Average price path (% from open):
Minute     Time     Avg%     Med%  Winners   Losers
   205    12:55   -0.00%   -0.02%   +0.17%   -0.74%
   206    12:56   -0.01%   -0.01%   +0.16%   -0.75%
   207    12:57   +0.02%   -0.00%   +0.20%   -0.73%
   208    12:58   +0.01%   -0.01%   +0.19%   -0.75%
   209    12:59   +0.02%   -0.01%   +0.20%   -0.75%
   210    13:00   +0.03%   -0.00%   +0.20%   -0.73%
   211    13:01   +0.04%   +0.01%   +0.22%   -0.73%
   212    13:02   +0.04%   +0.00%   +0.22%   -0.74%
   213    13:03   +0.02%   -0.00%   +0.21%   -0.77%
   214    13:04   +0.02%   -0.01%   +0.20%   -0.78%
   215    13:05   +0.01%   -0.01%   +0.20%   -0.79%
   216    13:06   +0.00%   -0.02%   +0.19%   -0.79%
   217    13:07   -0.01%   -0.02%   +0.18%   -0.79%
   218    13:08   -0.01%   -0.03%   +0.18%   -0.78%
   219    13:09   -0.00%   -0.01%   +0.18%   -0.77%
   220    13:10   +0.01%   -0.01%   +0.19%   -0.77%
   221    13:11   -0.00%   -0.01%   +0.17%   -0.77%
   222    13:12   +0.01%   +0.01%   +0.18%   -0.74%
   223    13:13   +0.01%   +0.00%   +0.18%   -0.73%
   224    13:14   +0.01%   +0.00%   +0.17%   -0.72%
   225    13:15   +0.00%   +0.00%   +0.17%   -0.72%
   226    13:16   -0.01%   -0.00%   +0.16%   -0.74%
   227    13:17   -0.01%   -0.01%   +0.16%   -0.73%
   228    13:18   -0.01%   -0.01%   +0.16%   -0.74%
   229    13:19   +0.01%   -0.01%   +0.17%   -0.72%
   230    13:20   -0.00%   -0.02%   +0.16%   -0.73%
   231    13:21   -0.00%   -0.01%   +0.16%   -0.72%
   232    13:22   -0.01%   -0.01%   +0.16%   -0.74%
