minute,avg_price,median_price,std_price,p25_price,p75_price,avg_volume,count,avg_winners,avg_losers,avg_small_drop,avg_medium_drop,avg_big_drop
194,0.00018706239417144138,-0.00017014905056833562,0.023819190950699787,-0.012547679474478546,0.012036857041903937,65494.38557812513,7435,0.001908722225133433,-0.007267292716230301,6.944001139059677e-05,-0.001128492766677131,0.0027138256669870966
195,3.210292294216515e-05,-0.00031003535490892187,0.023746225796736384,-0.012600000000000056,0.011798192247522987,70914.80923541395,7449,0.0017359671712812517,-0.0073557841080008814,-7.906969580572398e-05,-0.0011392361149193777,0.002323675732572858
196,-5.6412856992590676e-05,-0.00037091988130566467,0.023749018587231045,-0.012588911044314255,0.011889100034108147,65718.93316158048,7429,0.0016568368802653876,-0.007466985555641079,-0.00010375648234593136,-0.001247295352068293,0.001917557932550286
197,1.507942750307662e-05,-0.00034036759700484254,0.023679127680981297,-0.012606575062457437,0.011882980984857627,64245.37994321693,7435,0.0017394893436276423,-0.00743802513481627,-1.6042918000145986e-05,-0.0011270255267698396,0.0018374417388882334
198,7.587093323095892e-05,-0.00023513556655901935,0.02367792472715428,-0.012457710751907963,0.01202499999551565,62294.37192802412,7442,0.0018123344749626101,-0.0074446581307443735,5.466190216641049e-05,-0.001057036180350785,0.0018296947267874137
199,0.00012893131228173862,-0.00023247163846018548,0.023602978181519546,-0.01245232584672551,0.01203750633552958,63055.19170680459,7433,0.0018608972743126343,-0.007400759557180638,0.0001286780805417368,-0.0009287355593256187,0.0016800409388794302
200,7.112891123235327e-05,-0.0002544529262086259,0.023566027508384334,-0.012458123005980426,0.0120599289085499,65908.32302068755,7443,0.0017717100047991827,-0.007275770395070661,6.477690474011157e-05,-0.000941718593544427,0.0015812573979179343
201,9.404877986344576e-05,-0.0002701206223046926,0.023581904033671185,-0.01246026297097999,0.011874239535799802,63548.10530459948,7446,0.0017829337989776915,-0.007218811263531024,6.75667385506901e-05,-0.000860043020632584,0.0016250048459161281
202,8.373832671178247e-05,-0.0002065774252189012,0.023567368082193927,-0.012452830188679265,0.011914079485172646,62966.947571892466,7437,0.0017584566731083232,-0.007195447239293598,0.0001330228946472368,-0.0009573013269873795,0.001347189175343968
203,3.2695228465555195e-05,-0.00020715370805135525,0.02362947827781033,-0.012521734319087652,0.01198527986209974,62396.95581526584,7431,0.0017475743174243615,-0.00739393680886896,0.0001286610584603731,-0.0010273634874073425,0.001071286913304939
