ticker,event_date,drop_pct,drop_bucket,success,year,month,day_of_week,stress,sector_etf,close_d1,high_d1,low_d1,close_d2,high_d2,low_d2,close_d3,high_d3,low_d3,close_d4,high_d4,low_d4,close_d5,high_d5,low_d5
KO,2020-04-20,0.0318352590569094,3-5%,True,2020,4,0,high,XLP,-2.4715188939427257,0.7951918252502965,-4.878574075470832,-1.826775191103791,-0.816671531027513,-2.213623052479352,-3.137758699280835,-0.9241356468014938,-3.3526705341068164,-2.364062976529735,-1.6763352670534082,-3.030302781867844,0.5372877854259439,0.9671196534388748,-1.7623032803281924
SPG,2020-04-20,0.0408053660800946,3-5%,True,2020,4,0,high,XLRE,-0.5015798784682723,2.1177769847125827,-3.7711360299880647,-2.5450542448090197,2.45216357035809,-4.328444643876095,-1.2632366376467141,2.2849702775353364,-4.495637936698849,-4.3470185268281725,-0.3529675551610989,-9.660041958125209,6.241866396734741,7.876644472494632,-4.328444643876095
GILD,2020-04-20,0.0325038194663021,3-5%,True,2020,4,0,high,XLV,-3.3595905552116667,1.2060001252474972,-3.6918532133072945,0.06152525356750704,0.36917968800977974,-3.015019090855231,-4.282553858538485,3.371889972604225,-8.442038432205468,-1.9936041151785044,-1.3659864400331623,-6.1653974951062835,-1.673640874475435,-1.0583320055908785,-3.716470825828888
JPM,2020-04-20,0.0364572516240518,3-5%,True,2020,4,0,high,XLF,-2.90044276444138,-0.3598318987559135,-3.685527518438536,-2.584235928733414,0.17446697601861683,-2.758694585708732,-2.5297129189667755,-0.46886959924589133,-2.6714610976994235,-1.0903936429864314,-0.6651407877451887,-3.511068861463218,3.173049494231295,4.274341083936406,-0.18536492273729666
AMAT,2020-04-20,0.0483082642475176,3-5%,True,2020,4,0,high,SMH,-4.542759606041158,-1.1455694624109891,-4.779778654135958,2.923167116360914,3.555202842360039,-1.6195924896802327,0.5332815565230353,3.140430809884398,-0.07900634936492956,2.192377220885744,2.4688919092028305,-1.362833155934473,0.790040890268795,4.127987573565517,0.03950317468246478
AXP,2020-04-20,0.0386771630280883,3-5%,True,2020,4,0,high,XLF,-2.9639393284698112,-1.8450220358813163,-5.404119509680871,-1.7497931000160838,-0.4166152424964098,-2.4282833753762834,-1.8450220358813163,0.9165535334920927,-2.737772876172684,-0.9998856635225484,0.9165535334920927,-3.2139084739676527,1.2498457274892294,1.3569805507203991,-1.9878654396791484
BAC,2020-04-20,0.0335051831460191,3-5%,True,2020,4,0,high,XLF,-3.822224934895835,-0.5777740478515647,-4.444444444444439,-3.111114501953127,-1.2000020345052098,-3.3333333333333326,-2.79999627007379,-0.4888916015625022,-2.8888871934678817,-1.4222208658854152,-0.8888922797309018,-3.688888549804692,4.311108059353308,5.111109415690107,-0.22221883138020537
BKNG,2020-04-20,0.0402755201744905,3-5%,True,2020,4,0,high,XLY,-4.917006896291742,-1.692364410165026,-6.675260993217613,-4.011670574806281,-2.2413775747933795,-4.932592614261322,-3.6574687510408266,-1.6038156431831263,-4.309907037644134,-3.461245440062777,-2.624622745568461,-5.169202324035249,-0.6120586436452968,-0.02762462105661001,-2.8753994473589506
BA,2020-04-20,0.0674675285042106,5-7%,False,2020,4,0,high,XLI,-5.069283997184337,-1.1907295498917558,-5.682058093049813,-6.016293679359308,-1.942756962798664,-6.329640205596798,-4.087455673170148,-0.8564833384245518,-5.26425564129468,-10.187316217975106,-4.205830555297307,-10.63992668641175,-10.396217443852684,-8.641462021701884,-13.773413199102169
CVX,2020-04-20,0.041298595270633,3-5%,True,2020,4,0,high,XLE,-2.3094415606361607,0.2632538249449645,-5.169318787363563,1.0410467270061563,2.010291146716159,-0.7179591675387509,3.8650273647585554,6.234293530571033,2.1778146481636673,4.116312616929796,6.246262103344735,2.6325199907574426,7.347133435527242,8.436045324282127,2.7521874598023466
DIS,2020-04-20,0.0409827931140401,3-5%,True,2020,4,0,high,XLC,-1.6819882503148809,-0.73342458862935,-3.0608300581127845,-1.2419364814495681,0.3618180221574674,-1.3397249344439977,-1.2321553979159017,0.2640295691630268,-2.7381214485284966,-1.0463521146799715,-0.3324896931179544,-2.679449868887984,3.7160134392535182,4.1658462916525085,-0.6356361356349205
DUK,2020-04-20,0.0382907547910016,3-5%,True,2020,4,0,high,XLU,-1.396421307749518,-0.23081889684327672,-2.6197394489173575,0.5770340348472791,2.0196191219654436,-0.19618945868632442,-1.7657227378581442,1.7657227378581553,-2.0196191219654436,-1.1079042903258784,-0.5539565475832564,-3.4045060885032674,0.11540504600133783,1.1886887030108761,-0.5539565475832564
GE,2020-04-20,0.0482457072816704,3-5%,True,2020,4,0,high,XLI,-0.4608197408988213,1.0752774135780685,-3.225802848720949,-1.2288683181372662,1.9969404089863474,-1.6897056942440591,0.1536144181698118,3.53302580665793,-1.2288683181372662,-3.8402428861922466,1.382494493112385,-3.993851425959405,-1.2288683181372662,-0.6144341590686331,-2.7649713510168206
C,2020-04-20,0.0316832215012953,3-5%,True,2020,4,0,high,XLF,-5.544191592289027,-2.0449846523654336,-6.680297066202123,-4.021805749991092,-2.0222663567178056,-4.9079753005926925,-3.5219252355712216,-0.6134893282518039,-3.976369158695836,-2.067711615809953,-1.522377174501044,-5.180638187348707,5.794144851194294,6.384915883798481,-0.6362162916963232
MRK,2020-04-21,0.0546329819789056,5-7%,True,2020,4,1,high,XLV,1.8075401940501834,2.6603912289752785,0.3436909470426519,2.9531631139179337,4.22606842247697,2.0493930168928642,3.6532569625430833,4.50611817517399,3.1313645647091937,6.8991919614036945,7.777497438525893,2.889511741866513,3.3350306354033243,4.671587316013803,2.0493930168928642
MU,2020-04-21,0.0458525716244544,3-5%,True,2020,4,1,high,SMH,6.037189107008012,6.737505254305631,3.2359337298370816,5.69910799093869,7.993241694005637,4.85389598874586,6.640908017708824,7.02728775207655,3.791354022239468,9.345566158282947,9.611203952914416,7.655160577936315,9.418018691740304,15.165416088957894,9.345566158282947
MSFT,2020-04-21,0.0413571937355461,3-5%,True,2020,4,1,high,XLK,3.3964942792727326,3.6825124574341395,1.7876295251281649,2.145149974741445,4.314140101536146,1.8412562287170697,4.010246355511771,4.0162018473481,1.722082745512643,3.712308101323747,5.410550694783134,3.265400720041689,1.1857884325618295,4.677625135339691,0.9355213901263593
MS,2020-04-21,0.036757034019223,3-5%,True,2020,4,1,high,XLF,2.32747115722427,3.328821425817141,1.3261105646877214,1.4073083816691812,3.8971545249690154,0.8930933952467024,2.760488326665267,3.35588048218185,0.8389649585736292,6.3870109922125495,7.036531584402206,3.7347795388934513,8.606225276090651,11.989175138580887,7.8213784302464395
MO,2020-04-21,0.0335295977354347,3-5%,True,2020,4,1,high,XLP,0.1324233421093668,1.906782978569499,-0.8209681471753938,1.8273370552899681,2.8601744678542484,0.4237284282951448,4.396186231993204,4.7934360533560705,2.4629246464914045,5.270131797998445,6.488349766536672,3.919500589833458,7.812502367769358,9.798731269618388,7.441741255821421
LLY,2020-04-21,0.0324481610687631,3-5%,True,2020,4,1,high,XLV,2.646236060375906,3.019585161224736,0.5895127831713864,4.75535114554857,6.4780241751913215,0.8711612281431469,6.720373766876042,8.010739421117496,5.200761470252857,5.6461618003352365,7.748740402789256,5.272812699486407,3.032688110527726,6.098118602380054,2.5676283591799187
MDT,2020-04-21,0.038703961687426,3-5%,True,2020,4,1,high,XLV,-1.5674610897754904,1.0039911089142484,-3.9852467629591493,-1.823582387221201,-0.17416060637467368,-1.9157901187265458,1.731382471917553,1.9670096884946586,-1.137179185955095,3.2271299110563145,3.9647604982922413,1.6801550859477432,0.44052894425470335,4.999484912307683,0.21514095191019766
MDLZ,2020-04-21,0.0450551462289875,3-5%,True,2020,4,1,high,XLP,2.231791990569909,2.995298990703432,0.313233832569737,0.4894283301454472,2.995298990703432,0.17618702949206977,0.6460415123884955,1.0767408327032824,-0.2545048227390656,0.7830808473825446,1.4291298278547027,-0.19577581290837198,0.17618702949206977,2.4667154979763017,-0.43069932031477576
LRCX,2020-04-21,0.086604410335165,7-10%,True,2020,4,1,high,SMH,11.554400222527917,12.20703081421306,4.85571815865824,8.344616697939111,13.479449871289395,7.864377911019993,9.45695876900039,10.281981165451581,5.943438421091485,8.52932332145615,12.642120484961161,7.901322367272989,7.478547515275902,11.435370022724879,6.501660621601624
NKE,2020-04-21,0.0307167750940459,3-5%,True,2020,4,1,high,XLY,4.190140636968498,4.9765324472250905,1.4319263666690674,2.5234760597292016,5.082161955575071,2.4178465513792213,3.7206642158280623,4.60094593749949,2.87559233027328,4.894373178056632,5.48122765917094,2.476526626677411,4.225359427773889,6.467138889192348,4.025822098631604
LIN,2020-04-21,0.0330810546875,3-5%,True,2020,4,1,high,XLB,1.5205730917130955,2.241723164902054,0.6372983891605344,1.3528611934747525,3.5442733479597477,0.8217806242045711,1.44789594543413,2.1690460186230887,-0.01677033680568263,3.1864919458026497,3.76788352548989,1.7106425956318727,4.4722717920546495,5.159881191632243,3.689619110336184
META,2020-04-21,0.0417414845832216,3-5%,True,2020,4,1,high,XLC,6.721308853876451,8.185009061915927,4.297421666711787,8.38993066452829,9.514051352256558,7.230673667484733,11.282203705009008,11.481264789210277,5.872364519956985,9.777515602960252,13.436766123058907,9.724824539562915,7.090164165091872,10.772829957683673,6.88524256247951
NOW,2020-04-21,0.0452621658427196,3-5%,True,2020,4,1,high,XLK,3.7538511737059688,4.816978222725243,1.485607698615543,2.9573711522526747,5.513034627455404,2.5037211362188394,4.907018655714568,5.163275894468011,1.3609434430227774,6.867055947988976,7.698166397124417,6.060186137723167,2.5037211362188394,9.083350479016827,2.4275315532866326
SBUX,2020-04-21,0.0345193638430106,3-5%,True,2020,4,1,high,XLY,6.504394455637663,7.343229164262377,2.3514838500660273,3.3415845219815,6.806926382219225,2.1177129946044593,3.9328940626273345,4.551701736841296,2.0489519234844655,6.903185586907323,7.31573103069425,5.253024794692496,8.209572497921647,9.474696471384103,5.830580022821041
ORCL,2020-04-21,0.048228500862181,3-5%,True,2020,4,1,high,XLK,1.8709784813460972,2.4751518685882656,0.8965095929857059,1.2862986352513817,3.2742160596594516,0.27285009920368086,3.313188272739165,3.391147568113828,1.2668050941039066,4.014807061895853,4.5410211537633804,3.410641109261303,3.683491208464984,5.534983583271202,3.5470661588631325
PM,2020-04-21,0.0595888862175971,5-7%,True,2020,4,1,high,XLP,1.0791350200192396,2.185946123047322,-0.5949091206943202,-0.6917543005593108,1.5633714746771332,-0.7332578697395897,1.9230761111282302,2.338132913596991,0.02767608300882074,3.6524618625265015,4.053680623490852,1.8262309312632397,6.876039436412773,8.550083577126344,5.298840475564193
QCOM,2020-04-21,0.0332391508794697,3-5%,True,2020,4,1,high,SMH,3.953235122573706,4.871937887549693,1.2667089483541893,2.7422067387607774,6.027285706821384,2.672613998070572,5.846331837048702,5.943770170000429,2.5334178967083565,5.762816300227724,8.324058549234014,5.080737349583897,4.802345146859488,8.268377984692776,4.621391277086784
RTX,2020-04-21,0.0358572131530379,3-5%,True,2020,4,1,high,XLI,1.2769341062666806,3.5913805988824876,0.7182712486548004,1.0215472850133578,3.5594503962109503,0.9576990574744926,1.245009992497259,2.2825223788463855,-0.23942780881968106,3.8627264325694854,4.42138320127925,1.8994391025153101,4.373500075076153,7.406223905248899,3.4477190424689885
T,2020-04-21,0.0358296000898619,3-5%,True,2020,4,1,high,XLC,-1.3391348560667815,3.4482796519728964,-1.8747887984934986,-1.238696571461373,0.6026127988303154,-1.8078299420898891,-0.535653942426717,0.2678269712133474,-2.4104427409202045,2.2430540543122657,2.711749140335362,-0.43521565782130844,2.6113193101310106,4.184801709209363,2.510881025525613
TMUS,2020-04-21,0.0302423965629213,3-5%,True,2020,4,1,high,XLC,3.3707892688132457,3.9325845645157065,1.2153147715642687,3.5771555532229327,5.342806658444199,2.373308491003412,4.104565215489719,4.33386691858888,2.0522826077448597,4.230683776384048,4.769543653397013,2.0637415697903227,0.8255001268358431,4.803946781431234,0.7681703274114104
TSLA,2020-04-21,0.0799077799617374,7-10%,True,2020,4,1,high,XLY,6.609682849410858,6.884902988025821,0.289785224969763,2.753667893700218,6.884902988025821,2.3896157266936724,5.596167815791997,6.408721320403421,1.6688022682872505,16.313779954874907,16.421534930126768,7.030520521856731,11.999064768139345,17.223906206176643,10.18901115895594
TXN,2020-04-21,0.0420514883236674,3-5%,True,2020,4,1,high,SMH,4.810938969697509,5.260204922516376,1.6566869460226785,3.38824679021279,6.6080170628801005,3.126173794242848,6.636095292312083,6.701613541304563,3.931116362409681,8.367655136502194,8.79820465001757,5.784350914456238,6.926246517713985,12.13964963054135,6.767131790297043
UBER,2020-04-21,0.035473571516675,3-5%,True,2020,4,1,high,XLY,3.8617109835850982,5.038613111348544,1.1769021277634462,4.192715583879814,7.576312708644761,3.865386785953473,8.458989304467334,8.826772973115915,3.4939273149364958,10.62890523311497,12.136811961173155,8.168439574894858,10.776021506530409,17.06509488235013,7.980875445647184
USB,2020-04-21,0.0443795754091582,3-5%,True,2020,4,1,high,XLF,1.5887579133407437,3.208063708358999,0.6110625289846405,1.9553907687122063,5.163454477071205,1.4054356581308491,3.8802336557469452,4.796821621699743,0.427740273774746,9.624202780125302,10.479683327674817,4.644058903215664,11.976785940934786,16.04033019684328,11.732356267321586
WFC,2020-04-21,0.0303468259872389,3-5%,True,2020,4,1,high,XLF,-0.14903470678068187,2.7570781181490256,-0.5216072610004785,-1.1549905520864656,1.3785355058915316,-1.5648288893673867,0.2980623071954014,1.6766049194528954,-1.7511151664772795,5.849477220188626,6.482860511274602,1.1922492287816278,7.563340816336672,11.475409486572175,6.520119187969775
ISRG,2020-04-21,0.0418652431685621,3-5%,True,2020,4,1,high,XLV,3.1210388229455654,3.5841577989147,0.5396326018651587,3.3405143013469862,5.511147153188012,3.010291778596619,3.684830226578395,4.804384679651164,2.422323138398874,4.121781007881986,5.352073287905079,3.296215483607412,1.3732541325284897,4.504358354760707,0.6785756685747879
