ticker,event_date,drop_pct,d0_minute_of_low,d0_rebound_low_to_close,d0_pct_volume_after_low,d0_near_low_retest_count,d1_pct_bars_above_vwap,d1_longest_streak_above_vwap,d1_last90_logprice_slope,d1_full_day_trend_r2,target_distance_over_atr20,num_droppers_3pct,num_droppers_5pct,frac_droppers_3pct,d1_return_vs_sector
UBER,2022-02-23,0.0383016895439013,313.0,0.0035384615384614,0.0520760730240649,1.0,0.996969696969697,329.0,0.000264425038726,0.7966512286130815,0.6969472936090148,14,2,0.14,0.053714370998476646
BKNG,2022-02-24,0.0707861952817749,,,,,,,,,,6,2,0.06,-0.02569485702724217
C,2022-02-24,0.0403353844118994,,,,,,,,,,6,2,0.06,-0.010614409526932267
CL,2022-02-24,0.038911464678833,255.0,0.0029777660137637,0.2064969421134973,4.0,0.996969696969697,329.0,-6.179831129022239e-05,0.7064782043186206,2.540305574036964,6,2,0.06,0.001643986464088698
MO,2022-02-24,0.0458133018895564,255.0,0.0125468010697387,0.1246526597157535,1.0,0.896969696969697,296.0,-8.495223871022186e-05,0.0029008529932261,2.452199067404905,6,2,0.06,0.006303991977232082
MRK,2022-02-24,0.0307224988682661,294.0,0.0013704262025489,0.1338789331868327,3.0,0.9969604863221884,328.0,-5.703773178529885e-05,0.7023878892277737,2.421742270873163,6,2,0.06,0.007610472702816784
PM,2022-02-24,0.0534118760287634,287.0,0.0085985372603281,0.130569011895432,2.0,0.3303030303030303,62.0,1.672094424650757e-05,0.3936503556570385,2.4176660176285467,6,2,0.06,-0.008392401458403365
PLTR,2022-02-25,0.0304310785290746,32.0,0.0213636363636362,0.6729078257797023,2.0,0.4121212121212121,124.0,-3.194023937809166e-05,0.047790592442356,0.5903537607545406,1,0,0.01,0.03494389124022834
BKNG,2022-02-28,0.047868476496229,,,,,,,,,,5,0,0.05,-0.030989515529731282
C,2022-02-28,0.0443691516668374,,,,,,,,,,5,0,0.05,0.02605873942302417
JPM,2022-02-28,0.0416976286953091,303.0,0.001274832678211,0.0934513260531619,4.0,0.0,0.0,0.0001719550549949,0.6416199156195028,1.5391174685315463,5,0,0.05,-0.0008651739459261121
MS,2022-02-28,0.0402961931783613,302.0,0.0036625971143176,0.0821879367853136,2.0,0.0757575757575757,21.0,0.0001196448106526,0.4701508239199397,1.410760094290847,5,0,0.05,0.002590307629261157
PM,2022-02-28,0.0396237006232484,283.0,0.0069951034276007,0.1032609244430852,2.0,0.2606060606060606,50.0,0.0001347321621035,0.0954467125649494,2.1801029444817592,5,0,0.05,0.009535054984352809
AMAT,2022-03-01,0.034202656052674,287.0,0.0033214424195424,0.1259050617350701,1.0,0.8212121212121212,237.0,-3.729029241390023e-05,0.7972981650666962,1.0736597574635964,29,7,0.29,-0.0051872876091172415
AMD,2022-03-01,0.0771038980800944,321.0,0.0014688518812231,0.0215519547064315,1.0,0.8151515151515152,237.0,4.735980159456508e-05,0.7843862691578931,0.7735527903114974,29,7,0.29,0.006361960198484784
AXP,2022-03-01,0.0847126364567104,,,,,,,,,,29,7,0.29,-0.013239925975925937
BA,2022-03-01,0.0507937706330651,,,,,,,,,,29,7,0.29,-0.006462790131616769
BAC,2022-03-01,0.0391402604609656,,,,,,,,,,29,7,0.29,-0.00962938657947876
BK,2022-03-01,0.0483537087684349,,,,,,,,,,29,7,0.29,0.004966064548268978
BKNG,2022-03-01,0.0461503298929496,,,,,,,,,,29,7,0.29,0.02316760850003874
BLK,2022-03-01,0.0390918234110011,,,,,,,,,,29,7,0.29,0.0066220029503920586
COF,2022-03-01,0.0821426974993685,258.0,0.0074013740349885,0.2387163295671158,5.0,0.4696969696969697,80.0,-1.6371595112495337e-05,0.0319875465197718,1.4001985111662532,29,7,0.29,-0.02217975353374846
EMR,2022-03-01,0.0366981930683517,271.0,0.0066254912970242,0.1683347267598131,2.0,0.9848484848484848,323.0,-4.396347588761931e-05,0.8525226148836562,1.7622915648608757,29,7,0.29,0.02021819444076489
FDX,2022-03-01,0.0331128828401406,160.0,0.0110750564334085,0.4099768759573368,1.0,0.9390243902439024,300.0,-6.82124235980781e-05,0.7368604633330877,1.8527010640890809,29,7,0.29,-0.0011469378451252066
GE,2022-03-01,0.0332949412598712,258.0,0.0064123464840777,0.1552800678381307,3.0,0.8212121212121212,236.0,-5.573750719795434e-05,0.4908717028208508,1.4854168442357207,29,7,0.29,-0.0015212664561929934
GM,2022-03-01,0.0470890561955842,165.0,0.0088121390555995,0.3196997401540273,4.0,0.8484848484848485,245.0,-3.6449785495112977e-06,0.7581690471725296,1.1100552056711164,29,7,0.29,0.02203502312696415
GS,2022-03-01,0.0383544669054314,255.0,0.0060222548300317,0.2216091647449743,2.0,0.8363636363636363,239.0,1.8965549419346534e-05,0.8510332036244047,1.7374163702271068,29,7,0.29,-0.0009523125060257875
HON,2022-03-01,0.0324110607862033,239.0,0.0017200979115898,0.2572769290132996,6.0,0.906060606060606,272.0,-4.305588423261967e-05,0.5833057863316126,1.7670634992098877,29,7,0.29,-0.005872969037235221
JPM,2022-03-01,0.0377292382819119,254.0,0.013249737984728,0.1564224390067287,3.0,0.9303030303030304,245.0,2.981953511444784e-06,0.6644687836230161,1.5709607845744522,29,7,0.29,-0.005135904439703021
LIN,2022-03-01,0.0364206555430763,281.0,0.0063803243628586,0.1111158410466635,1.0,0.9181818181818182,278.0,5.604299074441259e-06,0.8434112577455082,1.5741714470559305,29,7,0.29,0.0050646445081119484
LRCX,2022-03-01,0.037017888610021,286.0,0.0033610012441276,0.13017732414301,1.0,0.8083067092651757,226.0,-4.1394314211601586e-05,0.6904661143688904,1.0869624323502003,29,7,0.29,-0.007850230310417317
MA,2022-03-01,0.0452857269724739,287.0,0.0046179315152041,0.1001174433766711,0.0,0.8303030303030303,237.0,4.5365540698130465e-05,0.2887117364012105,1.379859343781695,29,7,0.29,-0.01952840985222193
META,2022-03-01,0.0357294855221906,325.0,0.0013891538390049,0.0145947506863953,1.0,0.8151515151515152,238.0,8.241782163435157e-06,0.8371928430845307,0.7674495417255746,29,7,0.29,0.014122433496420284
MS,2022-03-01,0.0342737567067247,287.0,0.0126026130188461,0.1451640305496003,0.0,0.6696969696969697,205.0,-6.802536025282768e-05,0.2751239463097498,1.4110112755788595,29,7,0.29,-0.017317403159626377
