ticker,event_date,success,days_to_hit,hit_5_by_5,hit_5_by_10,hit_5_by_60,speed_label,max_5d_high_ret,max_5d_day,ret_per_day_5d,d2_high_ret,d3_high_ret,d4_high_ret,d5_high_ret,drop_pct,final_return,max_drawdown,d0_minute_of_low,d0_rebound_low_to_close,d0_pct_volume_after_low,d0_near_low_retest_count,d1_pct_bars_above_vwap,d1_longest_streak_above_vwap,d1_last90_logprice_slope,d1_full_day_trend_r2,d1_return_vs_sector,target_distance_over_atr20,num_droppers_3pct,num_droppers_5pct,score,tier
COP,2021-11-26,True,7.0,False,True,True,SLOW_WIN,0.018849626910454807,6.0,0.0037699253820909612,0.0012473504641347087,0.0004157834880449029,-0.0069300067834462764,0.010949423407066521,0.0447681196331447,0.0186065212534876,-0.0318971222945563,14.0,0.027833862128641362,0.8650954264345393,3.0,0.36666666666666664,58.0,-7.910019616482555e-05,0.012942955335195516,0.0034087621812829054,1.6194389851415214,30,5,1,NO
EMR,2021-11-26,True,26.0,False,False,True,SLOW_WIN,0.014087593778323686,6.0,0.002817518755664737,-0.0015408253214615052,-0.004512476990481814,0.0019810731231194164,0.006163301285846021,0.0416003996465039,0.0212601688655138,-0.0389768213733214,25.0,0.004560622914349333,0.7864906598671239,7.0,0.6151515151515151,194.0,-1.554399865106968e-05,0.3574960229442652,0.008371109970442095,2.2330072516552897,30,5,2,NO
GE,2021-11-26,False,33.0,False,False,True,SLOW_WIN,0.0,,0.0,-0.009857690713056014,-0.015345503596887279,-0.026626032056722353,-0.030995909885947102,0.0429423623327368,-0.0542722865077079,-0.0588716285791278,46.0,0.023662443723170057,0.6397773782670847,4.0,0.47575757575757577,153.0,-1.5197923084903312e-05,0.2213942012335106,0.008004555203469646,1.6965701226645122,30,5,2,NO
GM,2021-11-26,True,10.0,False,True,True,SLOW_WIN,0.030571299660844993,5.0,0.007642824915211248,-0.0003341205740016849,0.01219511417963617,0.024056107785270654,0.030571299660844993,0.0324811143651663,0.0141266796524028,-0.0382250175677687,1.0,0.00908173562058523,0.9515684137408972,3.0,0.20606060606060606,29.0,-5.661972429625891e-05,0.001505653634603088,-0.00587783975261615,1.466731996783262,30,5,-100,VETO
ISRG,2021-11-26,True,18.0,False,False,True,SLOW_WIN,0.00442137488649583,2.0,0.00442137488649583,0.00442137488649583,-0.013771839296328846,-0.015594196609279444,-0.014190118117271232,0.0300218079025437,0.016735956821007,-0.0282477842244249,204.0,0.006005365199365897,0.3339850356600079,1.0,0.96,305.0,-9.766692027602265e-05,0.7207932024390725,0.019189106971286476,1.9529417955385104,30,5,5,SMALLER_YES
JPM,2021-11-26,False,30.0,False,False,True,SLOW_WIN,0.012652785455438855,3.0,0.006326392727719427,-0.0037213351152131824,0.012652785455438855,0.012528712559631412,0.0037214297551031957,0.030127059390374,-0.0093867046404134,-0.0249490117264548,22.0,0.014481803299332574,0.7902603522090689,3.0,0.4818181818181818,131.0,-1.091171433547097e-05,0.1073090925399538,-0.0061487281908843465,2.57092943361166,30,5,-100,VETO
KO,2021-11-26,True,11.0,False,True,True,SLOW_WIN,0.01227552485284271,6.0,0.0024551049705685423,-0.017405656487151783,-0.019421057855075058,-0.02271897465861326,-0.017772099453305955,0.0306693262417449,0.0158198826737414,-0.0266145601592957,29.0,0.0016797312430012479,0.7521516350749078,10.0,0.9363636363636364,232.0,2.238464640791226e-05,0.7532207883702531,0.011456584682085064,3.9766512378564802,30,5,5,SMALLER_YES
MA,2021-11-26,True,7.0,False,True,True,SLOW_WIN,0.04256834025043668,6.0,0.008513668050087336,-0.006965728404616911,-0.003064984743573367,-0.002507654667363038,-0.0009907040479982224,0.0465587840360753,0.0282566948363756,-0.0551871360934056,0.0,0.012539184952978122,1.0,1.0,0.3939393939393939,56.0,5.368743675965331e-05,0.13670986683440622,-0.004304191556280164,1.344949125749725,30,5,-100,VETO
MRK,2021-11-26,False,27.0,False,False,True,SLOW_WIN,0.02697295084689438,3.0,0.01348647542344719,0.001869400331011202,0.02697295084689438,-0.0014688290993198642,-0.008545859191673335,0.0379192411700977,-0.0410560870344633,-0.0869126397742409,16.0,0.019971469329529423,0.846573985372488,0.0,0.01818181818181818,6.0,0.00010111385976419139,0.7960273552798888,-0.05148828586439339,1.544203044902703,30,5,-100,VETO
MS,2021-11-26,True,7.0,False,True,True,SLOW_WIN,0.03743699746965878,5.0,0.009359249367414694,-0.007508005057386808,0.014193121523939136,0.025917891145343687,0.03743699746965878,0.0315467005019842,0.0136832056950355,-0.0317573838523432,24.0,0.01856680922081977,0.8276239221288668,3.0,0.45151515151515154,146.0,-2.7580359791937854e-05,0.019601611277700326,-0.00897382293231779,1.9029459706046512,30,5,-100,VETO
